kode_prov;nama_prov;kode_kab;nama_kab
92;PAPUA BARAT;9212;KAB. PEGUNUNGAN ARFAK
93;PAPUA SELATAN;9301;KAB. MERAUKE
93;PAPUA SELATAN;9302;KAB. BOVEN DIGOEL
93;PAPUA SELATAN;9303;KAB. MAPPI
93;PAPUA SELATAN;9304;KAB. ASMAT
94;PAPUA TENGAH;9401;KAB. NABIRE
94;PAPUA TENGAH;9402;KAB. PUNCAK JAYA
94;PAPUA TENGAH;9403;KAB. PANIAI
94;PAPUA TENGAH;9404;KAB. MIMIKA
94;PAPUA TENGAH;9405;KAB. PUNCAK
94;PAPUA TENGAH;9406;KAB. DOGIYAI
94;PAPUA TENGAH;9407;KAB. INTAN JAYA
94;PAPUA TENGAH;9408;KAB. DEIYAI
95;PAPUA PEGUNUNGAN;9501;KAB. JAYAWIJAYA
95;PAPUA PEGUNUNGAN;9502;KAB. PEGUNUNGAN BINTANG
95;PAPUA PEGUNUNGAN;9503;KAB. YAHUKIMO
95;PAPUA PEGUNUNGAN;9504;KAB. TOLIKARA
95;PAPUA PEGUNUNGAN;9505;KAB. MAMBERAMO TENGAH
95;PAPUA PEGUNUNGAN;9506;KAB. YALIMO
95;PAPUA PEGUNUNGAN;9507;KAB. LANNY JAYA
95;PAPUA PEGUNUNGAN;9508;KAB. NDUGA
96;PAPUA BARAT DAYA;9201;KAB. SORONG
96;PAPUA BARAT DAYA;9204;KAB. SORONG SELATAN
96;PAPUA BARAT DAYA;9205;KAB. RAJA AMPAT
96;PAPUA BARAT DAYA;9209;KAB. TAMBRAUW
96;PAPUA BARAT DAYA;9210;KAB. MAYBRAT
96;PAPUA BARAT DAYA;9271;KOTA SORONG
